retriever,config,param_topk,param_topk_e,param_cost_e,param_tie_break,qid,question,kind,validated,answer_node_recall,skipped_reason,edge_recall,edge_precision,nodes,edges,chars,node_fraction,connected,param_k,condition,question_language,catalogue_language,hierarchy,qkind
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-named-0,"lungenentzuendung, mit komplikationen, links",entity,False,1.0,,,0.0,11,10,2032,0.0006957621758380771,True,,no catalogue,de,-,False,dx-named
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-named-1,"sekundaere stoerung, nicht naeher bezeichnet, links",entity,False,1.0,,,0.0,11,10,2156,0.0006957621758380771,True,,no catalogue,de,-,False,dx-named
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-named-2,"bluthochdruck, nicht naeher bezeichnet, links",entity,False,1.0,,,0.0,11,10,2154,0.0006957621758380771,True,,no catalogue,de,-,False,dx-named
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-named-3,"lungenentzuendung, nicht naeher bezeichnet, links",entity,False,1.0,,,0.0,11,10,2154,0.0006957621758380771,True,,no catalogue,de,-,False,dx-named
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-named-4,"sekundaere stoerung, grad eins, rechts",entity,False,1.0,,,0.0,11,10,1856,0.0006957621758380771,True,,no catalogue,de,-,False,dx-named
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-named-5,"bluthochdruck, grad eins, rechts",entity,False,1.0,,,0.0,11,10,1840,0.0006957621758380771,True,,no catalogue,de,-,False,dx-named
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-named-6,"lungenentzuendung, grad eins, rechts",entity,False,1.0,,,0.0,11,10,1848,0.0006957621758380771,True,,no catalogue,de,-,False,dx-named
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-named-7,"sekundaere stoerung, grad zwei, rechts",entity,False,1.0,,,0.0,11,10,1856,0.0006957621758380771,True,,no catalogue,de,-,False,dx-named
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-named-8,"bluthochdruck, grad zwei, rechts",entity,False,1.0,,,0.0,11,10,1844,0.0006957621758380771,True,,no catalogue,de,-,False,dx-named
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-named-9,"lungenentzuendung, grad zwei, rechts",entity,False,1.0,,,0.0,11,10,1850,0.0006957621758380771,True,,no catalogue,de,-,False,dx-named
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-codeonly-0,"chronische erkrankung, grad eins",entity,False,0.0,,,0.0,11,10,1866,0.0006957621758380771,True,,no catalogue,de,-,False,dx-codeonly
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-codeonly-1,"nierenfunktionsstoerung, grad zwei",entity,False,0.0,,,0.0,11,10,1876,0.0006957621758380771,True,,no catalogue,de,-,False,dx-codeonly
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-codeonly-2,"lungenentzuendung, grad drei",entity,False,0.0,,,0.0,11,10,1950,0.0006957621758380771,True,,no catalogue,de,-,False,dx-codeonly
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-codeonly-3,"nicht naeher bezeichnete komplikation, grad fuenf",entity,False,0.0,,,0.0,11,10,2188,0.0006957621758380771,True,,no catalogue,de,-,False,dx-codeonly
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-codeonly-4,"blutarmut, ohne angabe",entity,False,0.0,,,0.0,10,9,1338,0.0006325110689437065,True,,no catalogue,de,-,False,dx-codeonly
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-codeonly-5,"akute entzuendung, nicht naeher bezeichnet",entity,False,0.0,,,0.0,11,10,2154,0.0006957621758380771,True,,no catalogue,de,-,False,dx-codeonly
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-codeonly-6,"bluthochdruck, grad eins, links",entity,False,0.0,,,0.0,11,10,1860,0.0006957621758380771,True,,no catalogue,de,-,False,dx-codeonly
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-codeonly-7,"herzinsuffizienz, grad zwei, links",entity,False,0.0,,,0.0,11,10,1880,0.0006957621758380771,True,,no catalogue,de,-,False,dx-codeonly
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-codeonly-8,"transplantatabstossung, grad vier, links",entity,False,0.0,,,0.0,11,10,1936,0.0006957621758380771,True,,no catalogue,de,-,False,dx-codeonly
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-codeonly-9,"infektion des harntrakts, grad fuenf, links",entity,False,0.0,,,0.0,11,10,1946,0.0006957621758380771,True,,no catalogue,de,-,False,dx-codeonly
top-k triples (KAPING),top-k triples (KAPING)(k=10),,,,,dx-named-0,"lungenentzuendung, mit komplikationen, links",entity,False,1.0,,,0.0,11,10,1840,0.0006957621758380771,True,10.0,no catalogue,de,-,False,dx-named
top-k triples (KAPING),top-k triples (KAPING)(k=10),,,,,dx-named-1,"sekundaere stoerung, nicht naeher bezeichnet, links",entity,False,1.0,,,0.0,11,10,2004,0.0006957621758380771,True,10.0,no catalogue,de,-,False,dx-named
top-k triples (KAPING),top-k triples (KAPING)(k=10),,,,,dx-named-2,"bluthochdruck, nicht naeher bezeichnet, links",entity,False,1.0,,,0.0,11,10,2000,0.0006957621758380771,True,10.0,no catalogue,de,-,False,dx-named
top-k triples (KAPING),top-k triples (KAPING)(k=10),,,,,dx-named-3,"lungenentzuendung, nicht naeher bezeichnet, links",entity,False,1.0,,,0.0,11,10,2000,0.0006957621758380771,True,10.0,no catalogue,de,-,False,dx-named
top-k triples (KAPING),top-k triples (KAPING)(k=10),,,,,dx-named-4,"sekundaere stoerung, grad eins, rechts",entity,False,1.0,,,0.0,11,10,1734,0.0006957621758380771,True,10.0,no catalogue,de,-,False,dx-named
top-k triples (KAPING),top-k triples (KAPING)(k=10),,,,,dx-named-5,"bluthochdruck, grad eins, rechts",entity,False,1.0,,,0.0,11,10,1794,0.0006957621758380771,True,10.0,no catalogue,de,-,False,dx-named
top-k triples (KAPING),top-k triples (KAPING)(k=10),,,,,dx-named-6,"lungenentzuendung, grad eins, rechts",entity,False,1.0,,,0.0,11,10,1802,0.0006957621758380771,True,10.0,no catalogue,de,-,False,dx-named
top-k triples (KAPING),top-k triples (KAPING)(k=10),,,,,dx-named-7,"sekundaere stoerung, grad zwei, rechts",entity,False,1.0,,,0.0,11,10,1732,0.0006957621758380771,True,10.0,no catalogue,de,-,False,dx-named
top-k triples (KAPING),top-k triples (KAPING)(k=10),,,,,dx-named-8,"bluthochdruck, grad zwei, rechts",entity,False,1.0,,,0.0,11,10,1798,0.0006957621758380771,True,10.0,no catalogue,de,-,False,dx-named
