retriever,config,param_topk,param_topk_e,param_cost_e,param_tie_break,qid,question,kind,validated,answer_node_recall,skipped_reason,edge_recall,edge_precision,nodes,edges,chars,node_fraction,connected,param_k,condition,question_language,catalogue_language,hierarchy,qkind
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-named-0,"blutarmut, grad eins",entity,False,1.0,,,0.0,10,9,1005,0.006031363088057901,True,,no catalogue,de,-,False,dx-named
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-named-1,"infektion des harntrakts, grad zwei",entity,False,1.0,,,0.0,10,9,1005,0.006031363088057901,True,,no catalogue,de,-,False,dx-named
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-named-2,"lungenentzuendung, grad drei",entity,False,1.0,,,0.0,10,9,1005,0.006031363088057901,True,,no catalogue,de,-,False,dx-named
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-named-3,"herzinsuffizienz, grad vier",entity,False,1.0,,,0.0,10,9,1005,0.006031363088057901,True,,no catalogue,de,-,False,dx-named
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-named-4,"chronische erkrankung, grad fuenf",entity,False,1.0,,,0.0,10,9,1005,0.006031363088057901,True,,no catalogue,de,-,False,dx-named
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-named-5,"akute entzuendung, ohne angabe",entity,False,1.0,,,0.0,10,9,896,0.006031363088057901,True,,no catalogue,de,-,False,dx-named
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-named-6,"sekundaere stoerung, mit komplikationen",entity,False,1.0,,,0.0,10,9,905,0.006031363088057901,True,,no catalogue,de,-,False,dx-named
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-named-7,"nicht naeher bezeichnete komplikation, nicht naeher bezeichnet",entity,False,1.0,,,0.0,10,9,926,0.006031363088057901,True,,no catalogue,de,-,False,dx-named
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-codeonly-0,"chronische erkrankung, grad eins",entity,False,0.0,,,0.0,10,9,1005,0.006031363088057901,True,,no catalogue,de,-,False,dx-codeonly
PCST,"PCST(topk=10, topk_e=0, cost_e=0.5, tie_break=stable)",10.0,0.0,0.5,stable,dx-codeonly-1,"akute entzuendung, grad zwei",entity,False,0.0,,,0.0,10,9,1038,0.006031363088057901,True,,no catalogue,de,-,False,dx-codeonly
